SCH_NAME,ADDRESSES,NCESSCH
CHARLESTON HIGH,"606 S. THORN ST, CHARLESTON, MO 63834",290867000254
WARREN E. HEARNES ELEM.,"1015 PLANT RD, CHARLESTON, MO 63834",290867000255
CHARLESTON MIDDLE,"S MAIN ST, CHARLESTON, MO 63834",290867001780
CHILHOWEE ELEM.,"101 HWY 2, CHILHOWEE, MO 64733",290873000256
CHILHOWEE HIGH,"101 HWY 2, CHILHOWEE, MO 64733",290873000257
GRAND RIVER TECHNICAL SCH.,"1200 FAIR ST, CHILLICOTHE, MO 64601",290876000258
CENTRAL ELEM.,"321 ELM, CHILLICOTHE, MO 64601",290876000259
GARRISON ELEM.,"209 HENRY ST, CHILLICOTHE, MO 64601",290876000260
DEWEY ELEM.,"905 DICKINSON, CHILLICOTHE, MO 64601",290876000261
FIELD ELEM.,"1100 OAK, CHILLICOTHE, MO 64601",290876000262
CHILLICOTHE HIGH,"2801 HORNET RD, CHILLICOTHE, MO 64601",290876000264
CHILLICOTHE MIDDLE,"1529 CALHOUN, CHILLICOTHE, MO 64601",290876002815
LIVINGSTON CO. ELEM.,"205 WAITE ST, CHULA, MO 64635",290879000265
CLARKSBURG ELEM.,"401 S HWY H, CLARKSBURG, MO 65025",290909000267
CLARKTON ELEM.,"HWY 162, CLARKTON, MO 63837",290912000268
CLARKTON HIGH,"HWY 162, CLARKTON, MO 63837",290912000269
GLENRIDGE ELEM.,"7447 WELLINGTON WAY, CLAYTON, MO 63105",290972000271
MERAMEC ELEM.,"400 S MERAMEC AVE, CLAYTON, MO 63105",290972000273
RALPH M. CAPTAIN ELEM.,"6345 NORTHWOOD AVE, CLAYTON, MO 63105",290972000274
CLAYTON HIGH,"#1 MARK TWAIN CIRCLE, CLAYTON, MO 63105",290972000275
FAMILY CTR.,"301 N GAY AVE., CLAYTON, MO 63105",290972002583
WYDOWN MIDDLE,"6500 WYDOWN, CLAYTON, MO 63105",290972002584
CLEARWATER HIGH,"RTE 4 BOX 1004, PIEDMONT, MO 63957",290975000277
CLEARWATER ELEMENTARY,"825 NORTH MAIN STREET, PIEDMONT, MO 63957",290975000280
CLEARWATER MIDDLE,"RTE 4 BOX 1004, PIEDMONT, MO 63957",290975001904
CLEVER ELEM.,"103 S PUBLIC AVE., CLEVER, MO 65631",290978000281
CLEVER HIGH,"6800 W HWY 14, CLEVER, MO 65631",290978000282
CLIMAX SPRINGS ELEM.,"571 CLIMAX AVE, CLIMAX SPRINGS, MO 65324",290981000283
CLIMAX SPRINGS HIGH,"571 CLIMAX AVE, CLIMAX SPRINGS, MO 65324",290981000284
CLINTON TECHNICAL SCH.,"602 S 5TH, CLINTON, MO 64735",290986000285
CLINTON SR. HIGH,"1106 S 2ND STREET, CLINTON, MO 64735",290986000286
CLINTON MIDDLE,"600 E CLINTON, CLINTON, MO 64735",290986000288
HENRY ELEM.,"809 S 8TH ST, CLINTON, MO 64735",290986000289
CLINTON INTERMEDIATE SCHOOL,"709 S 8TH STREET, CLINTON, MO 64735",290986003145
CLINTON EARLY CHILDHOOD CENTER,"502 S 5TH STREET, CLINTON, MO 64735",290986003291
COLE CAMP ELEM.,"500 KEENEY ST, COLE CAMP, MO 65325",290990000292
COLE CAMP HIGH,"500 KEENEY ST, COLE CAMP, MO 65325",290990000293
COLE CAMP MIDDLE,"500 KEENEY ST, COLE CAMP, MO 65325",290990001389
COLE CAMP PRESCHOOL,"500 South Keeney, Cole Camp, MO 65325",290990003248
BLAIR OAKS ELEM.,"6124 FALCON LN, JEFFERSON CITY, MO 65101",290993000294
BLAIR OAKS HIGH,"6124 FALCON LN, JEFFERSON CITY, MO 65101",290993000295
BLAIR OAKS MIDDLE SCHOOL,"6124 FALCON LN, JEFFERSON CITY, MO 65101",290993003117
COMMUNITY ELEM.,"35063 HWY BB, LADDONIA, MO 63352",291002000318
