SCH_NAME,ADDRESSES,NCESSCH,URL,QUERY_RANKING
SCH_NAME,ADDRESSES,NCESSCH,URL,QUERY_RANKING
Jackson Elementary,"220 Church St., Jackson, CA 95642",60245008789,,1
Pine Grove Elementary STEM Magnet,"20101 State Highway 88, Jackson, CA 95642",60245008790,,1
Pioneer Magnet School for the Visual and Performing Arts,"24625 Highway 88, Pioneer, CA 95666",60245008791,,1
Plymouth Elementary,"10601 Sherwood, Plymouth, CA 95669",60245008792,,1
Sutter Creek Elementary,"340 Spanish St., Sutter Creek, CA 95685",60245008793,,1
Jackson Junior High,"747 Sutter St., Jackson, CA 95642",60245009300,,1
Ione Junior High,"217 Rex Ave., Jackson, CA 95642",60245009301,,1
Barton (Clara) Elementary,"1926 Clearbrook Ln., Anaheim, CA 92804",60261000148,,1
Edison (Thomas) Elementary,"1526 E. Romneya Dr., Anaheim, CA 92805",60261000149,,1
Franklin (Benjamin) Elementary,"521 W. Water St., Anaheim, CA 92805",60261000150,,1
Gauer (Melbourne A.) Elementary,"810 N. Gilbert St., Anaheim, CA 92801",60261000151,,1
Guinn (James M.) Elementary,"1051 S. Sunkist St., Anaheim, CA 92806",60261000152,,1
Henry (Patrick) Elementary,"1123 W. Romneya Dr., Anaheim, CA 92801",60261000153,,1
Jefferson (Thomas) Elementary,"504 E. S. St., Anaheim, CA 92805",60261000154,,1
Juarez (Benito) Elementary,"841 S. Sunkist St., Anaheim, CA 92806",60261000155,,1
Lincoln (Abraham) Elementary,"1413 E. BRd.way, Anaheim, CA 92805",60261000157,,1
Loara Elementary,"1601 W. BRd.way, Anaheim, CA 92802",60261000158,,1
Madison (James) Elementary,"1510 S. Nutwood St., Anaheim, CA 92804",60261000159,,1
Mann (Horace) Elementary,"600 W. La Palma Ave., Anaheim, CA 92801",60261000160,,1
Marshall (John) Elementary,"2066 Falmouth Ave., Anaheim, CA 92801",60261000161,,1
Palm Lane Elementary,"1646 W. Palm Ln., Anaheim, CA 92802",60261000162,,1
Price (Adelaide) Elementary,"1516 W. N. St., Anaheim, CA 92801",60261000163,,1
Revere (Paul) Elementary,"140 W. Guinida Ln., Anaheim, CA 92805",60261000164,,1
Roosevelt (Theodore) Elementary,"1600 E. Vermont Ave., Anaheim, CA 92805",60261000165,,1
Ross (Betsy) Elementary,"535 S. Walnut St., Anaheim, CA 92802",60261000166,,1
Stoddard (Alexander J.) Elementary,"1841 S. Ninth St., Anaheim, CA 92802",60261000167,,1
Sunkist Elementary,"500 N. Sunkist St., Anaheim, CA 92806",60261000168,,1
Olive Street Elementary,"890 S. Olive St., Anaheim, CA 92805",60261006092,,1
Westmont Elementary,"1525 W. W.mont Dr., Anaheim, CA 92801",60261008240,,1
Orange Grove Elementary,"1000 S. Harbor Blvd., Anaheim, CA 92805",60261011958,,1
Ponderosa Elementary,"2135 S. Mountain View Ave., Anaheim, CA 92802",60261012518,,1
GOALS Academy,"412 W. Carl Karcher Way, Anaheim, CA 92801",60261013858,,1
Anaheim High,"811 W. Lincoln Ave., Anaheim, CA 92805",60263000169,,1
Ball Junior High,"1500 W. Ball Rd., Anaheim, CA 92802",60263000170,,1
Brookhurst Junior High,"601 N. Brookhurst Ave., Anaheim, CA 92801",60263000171,,1
Cypress High,"9801 Valley View St., Cypress, CA 90630",60263000172,,1
Dale Junior High,"900 S. Dale St., Anaheim, CA 92804",60263000173,,1
Gilbert High (Continuation),"1800 Ball Rd., Anaheim, CA 92804",60263000174,,1
Hope,"7901 Knott Ave., Buena Park, CA 90620",60263000175,,1
Katella High,"2200 E. Wagner Ave., Anaheim, CA 92806",60263000176,,1
John F. Kennedy High,"8281 Walker St., La Palma, CA 90623",60263000177,,1
Lexington Junior High,"4351 Orange Ave., Cypress, CA 90630",60263000179,,1
Loara High,"1765 W. Cerritos Ave., Anaheim, CA 92804",60263000180,,1
Magnolia High,"2450 W. Ball Rd., Anaheim, CA 92804",60263000182,,1
Orangeview Junior High,"3715 W. Orange Ave., Anaheim, CA 92804",60263000184,,1
Savanna High,"301 N. Gilbert St., Anaheim, CA 92801",60263000187,,1
South Junior High,"2320 E. S. St., Anaheim, CA 92806",60263000188,,1
Sycamore Junior High,"1801 E. Sycamore St., Anaheim, CA 92805",60263000189,,1
Walker Junior High,"8132 Walker St., La Palma, CA 90623",60263000191,,1
Western High,"501 S. W.ern Ave., Anaheim, CA 92804",60263000192,,1
Oxford Academy,"5172 Orange Ave., Cypress, CA 90630",60263007580,,1
Polaris High (Alternative),"1800 W. Ball Rd., Anaheim, CA 92804",60263008115,,1
Analy High,"6950 Analy Ave., Sebastopol, CA 95472",60267000193,,1
El Molino High,"7050 Covey Rd., Forestville, CA 95436",60267000194,,1
Laguna High,"445 Taft St., Sebastopol, CA 95472",60267000195,,1
West Sonoma County Consortium,"462 Johnson St., Sebastopol, CA 95472",60267012473,,1
West County Charter Middle,"6321 Hwy. 116, Forestville, CA 95436",60267014122,,1
Anderson High,"1471 Ferry St., Anderson, CA 96007",60270000196,,1
North Valley High,"20083 Olinda Rd., Anderson, CA 96007",60270000197,,1
Oakview High (Alternative),"20083 Olinda Rd., Anderson, CA 96007",60270005415,,1
Anderson Community Day,"20083 Olinda Rd., Anderson, CA 96007",60270007439,,1
West Valley High,"3805 Happy Valley Rd., Cottonwood, CA 96022",60270007642,,1
Anderson New Technology High,"2098 N. St., Anderson, CA 96007",60270010671,,1
Anderson Valley Elementary,"12300 Anderson Valley Way, Boonville, CA 95415",60273000198,,1
Anderson Valley Junior-Senior High,"18200 Mountain View Rd., Boonville, CA 95415",60273000199,,1
Rancheria Continuation,"12300 Anderson Valley Way, Boonville, CA 95415",60273000200,,1
Antelope Elementary,"22630 Antelope Blvd., Red Bluff, CA 96080",60276000201,,1
Berrendos Middle,"401 Chestnut Ave., Red Bluff, CA 96080",60276000202,,1
Manton Elementary,"31345 Forward Rd., Manton, CA 96059",60276003591,,1
Plum Valley Elementary,"29950 Plum Creek Rd., Paynes Creek, CA 96075",60276004817,,1
Antelope Community Day,"22630 Antelope Blvd., Red Bluff, CA 96080",60276008413,,1
