SCH_NAME,ADDRESSES,NCESSCH,URL,QUERY_RANKING,VALIDITY_CONFIRMED,EXPLANATIONS
PILOT GROVE HIGH,"107 SCHOOL ST, PILOT GROVE, MO 65276",292517000000.0,https://www.pilotgrove.k12.mo.us/,1,False,School String not found in website
PLATO ELEM.,"10645 PLATO DR, PLATO, MO 65552",292521000000.0,https://platorv.org/,1,False,School String not found in website
PLATO HIGH,"10645 PLATO DR, PLATO, MO 65552",292521000000.0,https://platorv.org/,1,False,School String not found in website
BARRY SCH.,"2001 NW 87TH TERR, KANSAS CITY, MO 64154",292523000000.0,https://barry.plattecountyschooldistrict.com/,1,False,School String not found in website
PLATTE CITY MIDDLE,"900 PIRATE DR, PLATTE CITY, MO 64079",292523000000.0,https://pcms.plattecountyschooldistrict.com/,3,True,Validity is confirmed according to current tests.
PLATTE COUNTY HIGH,"1501 BRANCH ST, PLATTE CITY, MO 64079",292523000000.0,https://pchs.plattecountyschooldistrict.com/,1,True,Validity is confirmed according to current tests.
DONALD D. SIEGRIST ELEM.,"1701 BRANCH ST, PLATTE CITY, MO 64079",292523000000.0,https://siegrist.plattecountyschooldistrict.com/,6,False,Query Ranking > 5
NORTHLAND CAREER CTR.,"1801 BRANCH ST, PLATTE CITY, MO 64079",292523000000.0,https://northland.plattecountyschooldistrict.com/,1,False,School String not found in website
PATHFINDER ELEM.,"1951 NW 87TH TERR, KANSAS CITY, MO 64154",292523000000.0,https://mo01909184.schoolwires.net/site/default.aspx?PageType=3&ModuleInstanceID=1948&ViewID=ed695a1c-ef13-4546-b4eb-4fefcdd4f389&RenderLoc=0&FlexDataID=1392&PageID=17&Comments=true,2,False,School String not found in website
CLINTON CO. R-III MIDDLE,"800 W FROST ST, PLATTSBURG, MO 64477",292529000000.0,https://ccr3.k12.mo.us/,1,False,School String not found in website
ELLIS ELEM.,"603  W FROST ST, PLATTSBURG, MO 64477",292529000000.0,https://elementaryschools.org/directory/mo/cities/plattsburg/ellis-elementary/292529001457/,8,False,Query Ranking > 5
PLATTSBURG HIGH,"800 W FROST ST, PLATTSBURG, MO 64477",292529000000.0,https://ccr3.k12.mo.us/,1,True,Validity is confirmed according to current tests.
PLEASANT HILL MIDDLE,"1301 MYRTLE, PLEASANT HILL, MO 64080",292533000000.0,https://ms.pleasanthillschools.com/apps/maps/,1,True,Validity is confirmed according to current tests.
PLEASANT HILL PRIMARY,"304 EKLUND ST, PLEASANT HILL, MO 64080",292533000000.0,https://ps.pleasanthillschools.com/,1,True,Validity is confirmed according to current tests.
PLEASANT HILL HIGH,"1 ROOSTER WAY, PLEASANT HILL, MO 64080",292533000000.0,https://hs.pleasanthillschools.com/,1,True,Validity is confirmed according to current tests.
PLEASANT HILL ELEM.,"327 N MCKISSOCK, PLEASANT HILL, MO 64080",292533000000.0,https://es.pleasanthillschools.com/,2,False,School String not found in website
PLEASANT HILL INTERMEDIATE,"1204 E 163RD ST, PLEASANT HILL, MO 64080",292533000000.0,https://is.pleasanthillschools.com/,1,True,Validity is confirmed according to current tests.
PLEASANT HOPE ELEM.,"311 W MCCURRY, PLEASANT HOPE, MO 65725",292535000000.0,https://www.phr6.org/,1,False,School String not found in website
PLEASANT HOPE HIGH,"303 N MAIN, PLEASANT HOPE, MO 65725",292535000000.0,https://www.phr6.org/,1,False,School String not found in website
PLEASANT HOPE MIDDLE,"515 W MCCURRY, PLEASANT HOPE, MO 65725",292535000000.0,https://www.phr6.org/,1,False,School String not found in website
PLEASANT HOPE RANCH SCH.,"5545 HWY K, BRIGHTON, MO 65617",292535000000.0,https://www.phr6.org/o/phr6/page/ranch-school,1,False,School String not found in website
