
IDN Table for the Korean Language

TLD: .sap

Language Tag: ko

Language Description: Korean

Version: 1.0

Effective Date: 2012-03-29

Registry: SAP AG

The table below lists the characters allowed in the Unicode representation of IDNs associated with the Korean language. The "#" symbol denotes start of a comment that continues to the end of line.

The table presented here is in compliance with the ICANN Guidelines for the Implementation of Internationalized Domain Names Version 3.0 and is intended for publication in the IANA Repository of TLD IDN Practices, for the information of prospective holders of domains in .sap and for the users of resources within those domains. To avoid user confusion due to differing practices across TLD registries, SAP AG is using this IDN table currently in use for the already existing TLD .tel, courtesy of Telnic Limited.

U+002D # HYPHEN-MINUS
U+0030 # DIGIT ZERO
U+0031 # DIGIT ONE
U+0032 # DIGIT TWO
U+0033 # DIGIT THREE
U+0034 # DIGIT FOUR
U+0035 # DIGIT FIVE
U+0036 # DIGIT SIX
U+0037 # DIGIT SEVEN
U+0038 # DIGIT EIGHT
U+0039 # DIGIT NINE
U+0061 # LATIN SMALL LETTER A
U+0062 # LATIN SMALL LETTER B
U+0063 # LATIN SMALL LETTER C
U+0064 # LATIN SMALL LETTER D
U+0065 # LATIN SMALL LETTER E
U+0066 # LATIN SMALL LETTER F
U+0067 # LATIN SMALL LETTER G
U+0068 # LATIN SMALL LETTER H
U+0069 # LATIN SMALL LETTER I
U+006A # LATIN SMALL LETTER J
U+006B # LATIN SMALL LETTER K
U+006C # LATIN SMALL LETTER L
U+006D # LATIN SMALL LETTER M
U+006E # LATIN SMALL LETTER N
U+B179 # HANGUL SYLLABLE NOG
U+B17C # HANGUL SYLLABLE NON
U+B180 # HANGUL SYLLABLE NOL
U+B182 # HANGUL SYLLABLE NOLM
U+B188 # HANGUL SYLLABLE NOM
U+B189 # HANGUL SYLLABLE NOB
U+B18B # HANGUL SYLLABLE NOS
U+B18D # HANGUL SYLLABLE NONG
U+B192 # HANGUL SYLLABLE NOP
U+B193 # HANGUL SYLLABLE NOH
U+B194 # HANGUL SYLLABLE NWA
U+B198 # HANGUL SYLLABLE NWAN
U+B19C # HANGUL SYLLABLE NWAL
U+B1A8 # HANGUL SYLLABLE NWASS
U+B1CC # HANGUL SYLLABLE NOE
U+B1D0 # HANGUL SYLLABLE NOEN
U+B1D4 # HANGUL SYLLABLE NOEL
U+B1DC # HANGUL SYLLABLE NOEM
U+B1DD # HANGUL SYLLABLE NOEB
U+B1DF # HANGUL SYLLABLE NOES
U+B1E8 # HANGUL SYLLABLE NYO
U+B1E9 # HANGUL SYLLABLE NYOG
U+B1EC # HANGUL SYLLABLE NYON
U+B1F0 # HANGUL SYLLABLE NYOL
U+B1F9 # HANGUL SYLLABLE NYOB
U+B1FB # HANGUL SYLLABLE NYOS
U+B1FD # HANGUL SYLLABLE NYONG
U+B204 # HANGUL SYLLABLE NU
U+B205 # HANGUL SYLLABLE NUG
U+B208 # HANGUL SYLLABLE NUN
U+B20B # HANGUL SYLLABLE NUD
U+B20C # HANGUL SYLLABLE NUL
U+B214 # HANGUL SYLLABLE NUM
U+B215 # HANGUL SYLLABLE NUB
U+B217 # HANGUL SYLLABLE NUS
U+B219 # HANGUL SYLLABLE NUNG
U+B220 # HANGUL SYLLABLE NWEO
U+B234 # HANGUL SYLLABLE NWEOSS
U+B23C # HANGUL SYLLABLE NWE
U+B258 # HANGUL SYLLABLE NWI
U+B25C # HANGUL SYLLABLE NWIN
U+B260 # HANGUL SYLLABLE NWIL
U+B268 # HANGUL SYLLABLE NWIM
U+B269 # HANGUL SYLLABLE NWIB
U+B274 # HANGUL SYLLABLE NYU
U+B275 # HANGUL SYLLABLE NYUG
U+B27C # HANGUL SYLLABLE NYUL
U+B284 # HANGUL SYLLABLE NYUM
U+B285 # HANGUL SYLLABLE NYUB
U+B289 # HANGUL SYLLABLE NYUNG
U+B290 # HANGUL SYLLABLE NEU
U+B291 # HANGUL SYLLABLE NEUG
U+B294 # HANGUL SYLLABLE NEUN
U+B298 # HANGUL SYLLABLE NEUL
U+B299 # HANGUL SYLLABLE NEULG
U+B29A # HANGUL SYLLABLE NEULM
U+B2A0 # HANGUL SYLLABLE NEUM
U+B2A1 # HANGUL SYLLABLE NEUB
U+B2A3 # HANGUL SYLLABLE NEUS
U+B2A5 # HANGUL SYLLABLE NEUNG
U+B2A6 # HANGUL SYLLABLE NEUJ
U+B2AA # HANGUL SYLLABLE NEUP
U+B2AC # HANGUL SYLLABLE NYI
U+B2B0 # HANGUL SYLLABLE NYIN
U+B2B4 # HANGUL SYLLABLE NYIL
U+B2C8 # HANGUL SYLLABLE NI
U+B2C9 # HANGUL SYLLABLE NIG
