U+4E4D;U+4E4D # CJK UNIFIED IDEOGRAPH-4E4D
U+4E4E;U+4E4E # CJK UNIFIED IDEOGRAPH-4E4E
U+4E4F;U+4E4F # CJK UNIFIED IDEOGRAPH-4E4F
U+4E55;U+864E # CJK UNIFIED IDEOGRAPH-4E55
U+4E56;U+4E56 # CJK UNIFIED IDEOGRAPH-4E56
U+4E57;U+4E58 # CJK UNIFIED IDEOGRAPH-4E57
U+4E58;U+4E58 # CJK UNIFIED IDEOGRAPH-4E58
U+4E59;U+4E59 # CJK UNIFIED IDEOGRAPH-4E59
U+4E5D;U+4E5D # CJK UNIFIED IDEOGRAPH-4E5D
U+4E5E;U+4E5E # CJK UNIFIED IDEOGRAPH-4E5E
U+4E5F;U+4E5F # CJK UNIFIED IDEOGRAPH-4E5F
U+4E62;U+4E62 # CJK UNIFIED IDEOGRAPH-4E62
U+4E71;U+4E71 # CJK UNIFIED IDEOGRAPH-4E71
U+4E73;U+4E73 # CJK UNIFIED IDEOGRAPH-4E73
U+4E7E;U+5E72 # CJK UNIFIED IDEOGRAPH-4E7E
U+4E80;U+9F9F # CJK UNIFIED IDEOGRAPH-4E80
U+4E82;U+4E71 # CJK UNIFIED IDEOGRAPH-4E82
U+4E85;U+4E85 # CJK UNIFIED IDEOGRAPH-4E85
U+4E86;U+4E86 # CJK UNIFIED IDEOGRAPH-4E86
U+4E88;U+4E88 # CJK UNIFIED IDEOGRAPH-4E88
U+4E89;U+4E89 # CJK UNIFIED IDEOGRAPH-4E89
U+4E8A;U+4E8B # CJK UNIFIED IDEOGRAPH-4E8A
U+4E8B;U+4E8B # CJK UNIFIED IDEOGRAPH-4E8B
U+4E8C;U+4E8C # CJK UNIFIED IDEOGRAPH-4E8C
U+4E8E;U+4E8E # CJK UNIFIED IDEOGRAPH-4E8E
U+4E91;U+4E91 # CJK UNIFIED IDEOGRAPH-4E91
U+4E92;U+4E92 # CJK UNIFIED IDEOGRAPH-4E92
U+4E94;U+4E94 # CJK UNIFIED IDEOGRAPH-4E94
U+4E95;U+4E95 # CJK UNIFIED IDEOGRAPH-4E95
U+4E98;U+4E98 # CJK UNIFIED IDEOGRAPH-4E98
U+4E99;U+4E98 # CJK UNIFIED IDEOGRAPH-4E99
U+4E9B;U+4E9B # CJK UNIFIED IDEOGRAPH-4E9B
U+4E9C;U+4E9A # CJK UNIFIED IDEOGRAPH-4E9C
U+4E9E;U+4E9A # CJK UNIFIED IDEOGRAPH-4E9E
U+4E9F;U+4E9F # CJK UNIFIED IDEOGRAPH-4E9F
U+4EA0;U+4EA0 # CJK UNIFIED IDEOGRAPH-4EA0
U+4EA1;U+4EA1 # CJK UNIFIED IDEOGRAPH-4EA1
U+4EA2;U+4EA2 # CJK UNIFIED IDEOGRAPH-4EA2
U+4EA4;U+4EA4 # CJK UNIFIED IDEOGRAPH-4EA4
U+4EA5;U+4EA5 # CJK UNIFIED IDEOGRAPH-4EA5
U+4EA6;U+4EA6 # CJK UNIFIED IDEOGRAPH-4EA6
U+4EA8;U+4EA8 # CJK UNIFIED IDEOGRAPH-4EA8
U+4EAB;U+4EAB # CJK UNIFIED IDEOGRAPH-4EAB
U+4EAC;U+4EAC # CJK UNIFIED IDEOGRAPH-4EAC
U+4EAD;U+4EAD # CJK UNIFIED IDEOGRAPH-4EAD
U+4EAE;U+4EAE # CJK UNIFIED IDEOGRAPH-4EAE
U+4EB0;U+4EAC # CJK UNIFIED IDEOGRAPH-4EB0
U+4EB3;U+4EB3 # CJK UNIFIED IDEOGRAPH-4EB3
U+4EB6;U+4EB6 # CJK UNIFIED IDEOGRAPH-4EB6
U+4EBA;U+4EBA # CJK UNIFIED IDEOGRAPH-4EBA
U+4EC0;U+4EC0 # CJK UNIFIED IDEOGRAPH-4EC0
U+4EC1;U+4EC1 # CJK UNIFIED IDEOGRAPH-4EC1
U+4EC2;U+4EC2 # CJK UNIFIED IDEOGRAPH-4EC2
U+4EC4;U+4EC4 # CJK UNIFIED IDEOGRAPH-4EC4
U+4EC6;U+4EC6 # CJK UNIFIED IDEOGRAPH-4EC6
U+4EC7;U+4EC7 # CJK UNIFIED IDEOGRAPH-4EC7
U+4ECA;U+4ECA # CJK UNIFIED IDEOGRAPH-4ECA
U+4ECB;U+4ECB # CJK UNIFIED IDEOGRAPH-4ECB
U+4ECD;U+4ECD # CJK UNIFIED IDEOGRAPH-4ECD
U+4ECE;U+4ECE # CJK UNIFIED IDEOGRAPH-4ECE
U+4ECF;U+4F5B # CJK UNIFIED IDEOGRAPH-4ECF
U+4ED4;U+4ED4 # CJK UNIFIED IDEOGRAPH-4ED4
U+4ED5;U+4ED5 # CJK UNIFIED IDEOGRAPH-4ED5
