#
# IDN Table for Korean
# Copyright 2015 CentralNic Ltd
#
# Table ID: ko
# Table type: Language
# Version: 1.0
# Published: 2011-05-12
# Referral URL: https://www.centralnic.com
#
# Policy Statement:
#
# No remarks.
#

U+AD68 # 굨 HANGUL SYLLABLE GYOK
U+AD69 # 굩 HANGUL SYLLABLE GYOT
U+AD6A # 굪 HANGUL SYLLABLE GYOP
U+AD6B # 굫 HANGUL SYLLABLE GYOH
U+AD6C # 구 HANGUL SYLLABLE GU
U+AD6D # 국 HANGUL SYLLABLE GUG
U+AD6E # 굮 HANGUL SYLLABLE GUGG
U+AD6F # 굯 HANGUL SYLLABLE GUGS
U+AD70 # 군 HANGUL SYLLABLE GUN
U+AD71 # 굱 HANGUL SYLLABLE GUNJ
U+AD72 # 굲 HANGUL SYLLABLE GUNH
U+AD73 # 굳 HANGUL SYLLABLE GUD
U+AD74 # 굴 HANGUL SYLLABLE GUL
U+AD75 # 굵 HANGUL SYLLABLE GULG
U+AD76 # 굶 HANGUL SYLLABLE GULM
U+AD77 # 굷 HANGUL SYLLABLE GULB
U+AD78 # 굸 HANGUL SYLLABLE GULS
U+AD79 # 굹 HANGUL SYLLABLE GULT
U+AD7A # 굺 HANGUL SYLLABLE GULP
U+AD7B # 굻 HANGUL SYLLABLE GULH
U+AD7C # 굼 HANGUL SYLLABLE GUM
U+AD7D # 굽 HANGUL SYLLABLE GUB
U+AD7E # 굾 HANGUL SYLLABLE GUBS
U+AD7F # 굿 HANGUL SYLLABLE GUS
U+AD80 # 궀 HANGUL SYLLABLE GUSS
U+AD81 # 궁 HANGUL SYLLABLE GUNG
U+AD82 # 궂 HANGUL SYLLABLE GUJ
U+AD83 # 궃 HANGUL SYLLABLE GUC
U+AD84 # 궄 HANGUL SYLLABLE GUK
U+AD85 # 궅 HANGUL SYLLABLE GUT
U+AD86 # 궆 HANGUL SYLLABLE GUP
U+AD87 # 궇 HANGUL SYLLABLE GUH
U+AD88 # 궈 HANGUL SYLLABLE GWEO
U+AD89 # 궉 HANGUL SYLLABLE GWEOG
U+AD8A # 궊 HANGUL SYLLABLE GWEOGG
U+AD8B # 궋 HANGUL SYLLABLE GWEOGS
U+AD8C # 권 HANGUL SYLLABLE GWEON
U+AD8D # 궍 HANGUL SYLLABLE GWEONJ
U+AD8E # 궎 HANGUL SYLLABLE GWEONH
U+AD8F # 궏 HANGUL SYLLABLE GWEOD
U+AD90 # 궐 HANGUL SYLLABLE GWEOL
U+AD91 # 궑 HANGUL SYLLABLE GWEOLG
U+AD92 # 궒 HANGUL SYLLABLE GWEOLM
